File,STD,PSNR,SSIM,BER,Levenshtein Distance,Levenshtein Similarity(%),Seq Similarity(%),Status,Snippet
stego_1.png,1,46.88196,0.99770,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_10.png,1,47.19074,0.99960,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_11.png,1,47.03824,0.99703,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_12.png,1,46.89203,0.99330,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_13.png,1,46.89317,0.99527,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_14.png,1,46.89172,0.99646,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_15.png,1,46.98615,0.99832,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_16.png,1,46.95606,0.99919,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_17.png,1,46.98536,0.99829,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_18.png,1,46.88108,0.99823,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_19.png,1,46.96212,0.99301,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_2.png,1,46.93400,0.99552,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_20.png,1,47.08851,0.99677,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_21.png,1,47.04990,0.99913,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_22.png,1,46.99009,0.99390,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_23.png,1,46.88156,0.99435,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_24.png,1,47.12813,0.99922,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_25.png,1,48.06810,0.99925,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_26.png,1,46.88176,0.99477,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_27.png,1,46.89696,0.99260,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_28.png,1,46.89064,0.99446,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_29.png,1,46.88810,0.99432,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_3.png,1,46.89007,0.99872,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_30.png,1,46.91800,0.99908,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_31.png,1,46.90258,0.99712,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_32.png,1,47.02018,0.99510,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_33.png,1,46.89430,0.99884,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_34.png,1,47.11578,0.99949,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_35.png,1,47.16969,0.99491,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_36.png,1,47.35955,0.99413,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_37.png,1,46.92984,0.99558,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_38.png,1,46.88979,0.99465,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_39.png,1,46.89223,0.99499,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_4.png,1,47.14369,0.99966,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_40.png,1,47.11173,0.99775,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_41.png,1,46.88371,0.99400,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_42.png,1,46.91624,0.99809,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_43.png,1,46.90696,0.99952,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_44.png,1,46.88602,0.99406,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_45.png,1,47.21376,0.99912,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_46.png,1,46.88682,0.99918,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_47.png,1,47.00991,0.99704,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_48.png,1,47.04438,0.99872,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_49.png,1,46.91535,0.99903,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_5.png,1,47.22675,0.99738,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_50.png,1,46.95176,0.99964,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_6.png,1,46.98754,0.99805,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_7.png,1,46.91964,0.99491,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_8.png,1,46.87243,0.99499,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_9.png,1,46.89882,0.99798,,,,,Invalid payload,(Invalid/Corrupted payload)
