File,STD,PSNR,SSIM,BER,Levenshtein Distance,Levenshtein Similarity(%),Seq Similarity(%),Status,Snippet
stego_1.png,5,34.20986,0.95499,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_10.png,5,34.55515,0.99229,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_11.png,5,34.42184,0.94726,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_12.png,5,34.21917,0.88080,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_13.png,5,34.19513,0.91669,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_14.png,5,34.20691,0.93035,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_15.png,5,34.41290,0.97043,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_16.png,5,34.37420,0.98485,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_17.png,5,34.38878,0.97067,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_18.png,5,34.18816,0.96242,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_19.png,5,34.33396,0.88395,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_2.png,5,34.28596,0.91968,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_20.png,5,34.58575,0.94723,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_21.png,5,34.38031,0.98224,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_22.png,5,34.36102,0.89441,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_23.png,5,34.18192,0.90101,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_24.png,5,34.45787,0.98458,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_25.png,5,35.28691,0.97471,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_26.png,5,34.18636,0.90043,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_27.png,5,34.24671,0.86601,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_28.png,5,34.21320,0.89563,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_29.png,5,34.19385,0.89828,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_3.png,5,34.21099,0.97397,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_30.png,5,34.23178,0.98019,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_31.png,5,34.29235,0.94609,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_32.png,5,34.44914,0.91343,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_33.png,5,34.21642,0.97467,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_34.png,5,34.47996,0.98992,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_35.png,5,34.67288,0.92222,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_36.png,5,34.73143,0.88180,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_37.png,5,34.28392,0.92407,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_38.png,5,34.20615,0.89617,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_39.png,5,34.20666,0.90696,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_4.png,5,34.45043,0.99258,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_40.png,5,34.49006,0.95622,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_41.png,5,34.18703,0.89222,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_42.png,5,34.34689,0.96592,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_43.png,5,34.24168,0.98990,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_44.png,5,34.18925,0.89265,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_45.png,5,34.54656,0.98257,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_46.png,5,34.20368,0.98186,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_47.png,5,34.37842,0.94678,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_48.png,5,34.52157,0.97921,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_49.png,5,34.19458,0.97886,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_5.png,5,34.79011,0.96206,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_50.png,5,34.27916,0.99253,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_6.png,5,34.36367,0.96298,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_7.png,5,34.31653,0.91850,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_8.png,5,34.25937,0.90874,,,,,Invalid payload,(Invalid/Corrupted payload)
stego_9.png,5,34.23834,0.95906,,,,,Invalid payload,(Invalid/Corrupted payload)
