File,Kualitas(JPEG),PSNR,SSIM,BER,Sequence Similarity(%),Levenshtein Distance,Levenshtein Similarity(%),Snippet
stego_1.png,90,36.20796,0.98630,,,,,(Invalid payload)
stego_10.png,90,33.14941,0.98883,,,,,(Invalid payload)
stego_11.png,90,45.56408,0.99826,,,,,(Invalid payload)
stego_12.png,90,48.48240,0.99756,,,,,(Invalid payload)
stego_13.png,90,46.83886,0.99801,,,,,(Invalid payload)
stego_14.png,90,45.61191,0.99603,,,,,(Invalid payload)
stego_15.png,90,33.02416,0.96034,,,,,(Invalid payload)
stego_16.png,90,44.45010,0.99882,,,,,(Invalid payload)
stego_17.png,90,35.07323,0.98059,,,,,(Invalid payload)
stego_18.png,90,43.80466,0.99683,,,,,(Invalid payload)
stego_19.png,90,42.76477,0.99466,,,,,(Invalid payload)
stego_2.png,90,42.78798,0.99505,,,,,(Invalid payload)
stego_20.png,90,36.36454,0.98581,,,,,(Invalid payload)
stego_21.png,90,39.12443,0.99506,,,,,(Invalid payload)
stego_22.png,90,47.59987,0.99626,,,,,(Invalid payload)
stego_23.png,90,43.40824,0.99489,,,,,(Invalid payload)
stego_24.png,90,34.03732,0.98422,,,,,(Invalid payload)
stego_25.png,90,33.76784,0.97889,,,,,(Invalid payload)
stego_26.png,90,39.33748,0.97302,,,,,(Invalid payload)
stego_27.png,90,43.06806,0.99166,,,,,(Invalid payload)
stego_28.png,90,41.18180,0.98957,,,,,(Invalid payload)
stego_29.png,90,38.64972,0.97775,,,,,(Invalid payload)
stego_3.png,90,42.97419,0.99788,,,,,(Invalid payload)
stego_30.png,90,47.25396,0.99916,,,,,(Invalid payload)
stego_31.png,90,47.86144,0.99793,,,,,(Invalid payload)
stego_32.png,90,49.15475,0.99739,,,,,(Invalid payload)
stego_33.png,90,42.51729,0.99721,,,,,(Invalid payload)
stego_34.png,90,40.32221,0.99782,,,,,(Invalid payload)
stego_35.png,90,34.44113,0.96954,,,,,(Invalid payload)
stego_36.png,90,41.46343,0.97177,,,,,(Invalid payload)
stego_37.png,90,34.43161,0.96599,,,,,(Invalid payload)
stego_38.png,90,44.49965,0.99339,,,,,(Invalid payload)
stego_39.png,90,41.01722,0.99245,,,,,(Invalid payload)
stego_4.png,90,32.54245,0.98713,,,,,(Invalid payload)
stego_40.png,90,43.45718,0.99766,,,,,(Invalid payload)
stego_41.png,90,44.91036,0.99541,,,,,(Invalid payload)
stego_42.png,90,34.86318,0.97313,,,,,(Invalid payload)
stego_43.png,90,41.70665,0.99854,,,,,(Invalid payload)
stego_44.png,90,46.70172,0.99648,,,,,(Invalid payload)
stego_45.png,90,35.63331,0.99063,,,,,(Invalid payload)
stego_46.png,90,38.87243,0.99510,,,,,(Invalid payload)
stego_47.png,90,32.88593,0.96766,,,,,(Invalid payload)
stego_48.png,90,36.10056,0.99481,,,,,(Invalid payload)
stego_49.png,90,41.22697,0.99672,,,,,(Invalid payload)
stego_5.png,90,38.08984,0.99252,,,,,(Invalid payload)
stego_50.png,90,34.02976,0.99144,,,,,(Invalid payload)
stego_6.png,90,39.08600,0.99144,,,,,(Invalid payload)
stego_7.png,90,40.78320,0.99394,,,,,(Invalid payload)
stego_8.png,90,32.02217,0.80546,,,,,(Invalid payload)
stego_9.png,90,48.49763,0.99871,,,,,(Invalid payload)
